TABLE_NAME,COLUMN_NAME,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
_family_file,rfam_acc,family,rfam_acc
_overlap_membership,rfam_acc,family,rfam_acc
_overlap_membership,auto_overlap,_overlap,auto_overlap
_post_process,rfam_acc,family,rfam_acc
alignment_and_tree,rfam_acc,family,rfam_acc
clan_database_link,clan_acc,clan,clan_acc
clan_literature_reference,clan_acc,clan,clan_acc
clan_literature_reference,pmid,literature_reference,pmid
clan_membership,clan_acc,clan,clan_acc
clan_membership,rfam_acc,family,rfam_acc
database_link,rfam_acc,family,rfam_acc
family,auto_wiki,wikitext,auto_wiki
family_literature_reference,rfam_acc,family,rfam_acc
family_literature_reference,pmid,literature_reference,pmid
family_long,rfam_acc,family,rfam_acc
family_ncbi,ncbi_id,taxonomy,ncbi_id
family_ncbi,rfam_acc,family,rfam_acc
features,rfamseq_acc,rfamseq,rfamseq_acc
full_region,rfam_acc,family,rfam_acc
full_region,rfamseq_acc,rfamseq,rfamseq_acc
html_alignment,rfam_acc,family,rfam_acc
matches_and_fasta,rfam_acc,family,rfam_acc
motif_database_link,motif_acc,motif,motif_acc
motif_family_stats,motif_acc,motif_old,motif_acc
motif_family_stats,rfam_acc,family,rfam_acc
motif_file,motif_acc,motif,motif_acc
motif_literature,motif_acc,motif_old,motif_acc
motif_literature,pmid,literature_reference,pmid
motif_matches,motif_acc,motif_old,motif_acc
motif_matches,rfam_acc,family,rfam_acc
motif_matches,rfamseq_acc,rfamseq,rfamseq_acc
motif_pdb,motif_acc,motif_old,motif_acc
motif_ss_image,rfam_acc,family,rfam_acc
motif_ss_image,motif_acc,motif_old,motif_acc
pdb_rfam_reg,rfam_acc,family,rfam_acc
pdb_rfam_reg,pdb_id,pdb,pdb_id
pdb_rfam_reg,pdb_seq,pdb_sequence,pdb_seq
pdb_rfam_reg,rfamseq_acc,rfamseq,rfamseq_acc
pdb_sequence,pdb_id,pdb,pdb_id
processed_data,rfam_acc,family,rfam_acc
pseudoknot,rfam_acc,family,rfam_acc
refseq_full_region,rfam_acc,family,rfam_acc
refseq_full_region,refseq_acc,refseq,refseq_acc
rfamseq,ncbi_id,taxonomy,ncbi_id
secondary_structure_image,rfam_acc,family,rfam_acc
seed_region,rfam_acc,family,rfam_acc
seed_region,rfamseq_acc,rfamseq,rfamseq_acc
sunburst,rfam_acc,family,rfam_acc
